47Q :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
47Z :acc 0.9038 , nmi 0.6918 , ari 0.7391 , f1 0.9033
47P :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
48Q :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
48Z :acc 0.9038 , nmi 0.6918 , ari 0.7391 , f1 0.9033
48P :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
49Q :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
49Z :acc 0.9045 , nmi 0.6933 , ari 0.7407 , f1 0.9040
49P :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
50Q :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
50Z :acc 0.9048 , nmi 0.6938 , ari 0.7415 , f1 0.9043
50P :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
51Q :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
51Z :acc 0.9045 , nmi 0.6925 , ari 0.7406 , f1 0.9040
51P :acc 0.8975 , nmi 0.6515 , ari 0.7189 , f1 0.8977
52Q :acc 0.8982 , nmi 0.6532 , ari 0.7205 , f1 0.8983
52Z :acc 0.9045 , nmi 0.6925 , ari 0.7406 , f1 0.9040
52P :acc 0.8972 , nmi 0.6503 , ari 0.7180 , f1 0.8973
53Q :acc 0.8979 , nmi 0.6519 , ari 0.7196 , f1 0.8979
53Z :acc 0.9045 , nmi 0.6922 , ari 0.7405 , f1 0.9041
53P :acc 0.8972 , nmi 0.6503 , ari 0.7180 , f1 0.8973
54Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
54Z :acc 0.9061 , nmi 0.6949 , ari 0.7443 , f1 0.9058
54P :acc 0.8972 , nmi 0.6503 , ari 0.7180 , f1 0.8973
55Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
55Z :acc 0.9055 , nmi 0.6930 , ari 0.7427 , f1 0.9051
55P :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
56Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
56Z :acc 0.9051 , nmi 0.6920 , ari 0.7419 , f1 0.9048
56P :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
57Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
57Z :acc 0.9064 , nmi 0.6948 , ari 0.7450 , f1 0.9063
57P :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
58Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
58Z :acc 0.9071 , nmi 0.6959 , ari 0.7465 , f1 0.9069
58P :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
59Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
59Z :acc 0.9074 , nmi 0.6969 , ari 0.7473 , f1 0.9073
59P :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
60Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
60Z :acc 0.9078 , nmi 0.6975 , ari 0.7481 , f1 0.9077
60P :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
61Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
61Z :acc 0.9088 , nmi 0.7006 , ari 0.7505 , f1 0.9087
61P :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
62Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
62Z :acc 0.9088 , nmi 0.7006 , ari 0.7505 , f1 0.9087
62P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
63Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
63Z :acc 0.9091 , nmi 0.7016 , ari 0.7514 , f1 0.9091
63P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
64Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
64Z :acc 0.9098 , nmi 0.7027 , ari 0.7529 , f1 0.9098
64P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
65Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
65Z :acc 0.9094 , nmi 0.7016 , ari 0.7520 , f1 0.9095
65P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
66Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
66Z :acc 0.9104 , nmi 0.7033 , ari 0.7544 , f1 0.9105
66P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
67Q :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
67Z :acc 0.9098 , nmi 0.7012 , ari 0.7527 , f1 0.9098
67P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
68Q :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
68Z :acc 0.9098 , nmi 0.7013 , ari 0.7527 , f1 0.9099
68P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
69Q :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
69Z :acc 0.9101 , nmi 0.7016 , ari 0.7534 , f1 0.9102
69P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
70Q :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
70Z :acc 0.9101 , nmi 0.7016 , ari 0.7534 , f1 0.9102
70P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
71Q :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
71Z :acc 0.9117 , nmi 0.7041 , ari 0.7573 , f1 0.9119
71P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
72Q :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
72Z :acc 0.9117 , nmi 0.7041 , ari 0.7573 , f1 0.9119
72P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
73Q :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
73Z :acc 0.9121 , nmi 0.7047 , ari 0.7581 , f1 0.9122
73P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
74Q :acc 0.8972 , nmi 0.6498 , ari 0.7179 , f1 0.8973
74Z :acc 0.9121 , nmi 0.7047 , ari 0.7581 , f1 0.9122
74P :acc 0.8975 , nmi 0.6508 , ari 0.7187 , f1 0.8976
75Q :acc 0.8972 , nmi 0.6498 , ari 0.7179 , f1 0.8973
75Z :acc 0.9121 , nmi 0.7047 , ari 0.7581 , f1 0.9122
75P :acc 0.8972 , nmi 0.6498 , ari 0.7179 , f1 0.8973
76Q :acc 0.8972 , nmi 0.6498 , ari 0.7179 , f1 0.8973
76Z :acc 0.9127 , nmi 0.7053 , ari 0.7595 , f1 0.9129
76P :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
77Q :acc 0.8975 , nmi 0.6508 , ari 0.7188 , f1 0.8976
77Z :acc 0.9121 , nmi 0.7041 , ari 0.7580 , f1 0.9122
77P :acc 0.8972 , nmi 0.6501 , ari 0.7180 , f1 0.8973
78Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
78Z :acc 0.9121 , nmi 0.7041 , ari 0.7580 , f1 0.9122
78P :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
79Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
79Z :acc 0.9131 , nmi 0.7060 , ari 0.7603 , f1 0.9133
79P :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
80Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
80Z :acc 0.9131 , nmi 0.7060 , ari 0.7603 , f1 0.9133
80P :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
81Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
81Z :acc 0.9131 , nmi 0.7060 , ari 0.7603 , f1 0.9133
81P :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
82Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
82Z :acc 0.9140 , nmi 0.7073 , ari 0.7626 , f1 0.9143
82P :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
83Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
83Z :acc 0.9140 , nmi 0.7073 , ari 0.7626 , f1 0.9143
83P :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
84Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
84Z :acc 0.9140 , nmi 0.7073 , ari 0.7626 , f1 0.9143
84P :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
85Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
85Z :acc 0.9137 , nmi 0.7069 , ari 0.7619 , f1 0.9139
85P :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
86Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
86Z :acc 0.9137 , nmi 0.7069 , ari 0.7619 , f1 0.9139
86P :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
87Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
87Z :acc 0.9137 , nmi 0.7069 , ari 0.7619 , f1 0.9139
87P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
88Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
88Z :acc 0.9147 , nmi 0.7104 , ari 0.7644 , f1 0.9150
88P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
89Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
89Z :acc 0.9137 , nmi 0.7069 , ari 0.7619 , f1 0.9139
89P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
90Q :acc 0.8975 , nmi 0.6511 , ari 0.7188 , f1 0.8976
90Z :acc 0.9131 , nmi 0.7071 , ari 0.7604 , f1 0.9133
90P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
91Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
91Z :acc 0.9140 , nmi 0.7095 , ari 0.7628 , f1 0.9143
91P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
92Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
92Z :acc 0.9137 , nmi 0.7082 , ari 0.7620 , f1 0.9140
92P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
93Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
93Z :acc 0.9137 , nmi 0.7082 , ari 0.7620 , f1 0.9140
93P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
94Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
94Z :acc 0.9144 , nmi 0.7088 , ari 0.7633 , f1 0.9147
94P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
95Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
95Z :acc 0.9147 , nmi 0.7106 , ari 0.7645 , f1 0.9150
95P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
96Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
96Z :acc 0.9147 , nmi 0.7093 , ari 0.7642 , f1 0.9150
96P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
97Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
97Z :acc 0.9147 , nmi 0.7094 , ari 0.7641 , f1 0.9150
97P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
98Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
98Z :acc 0.9144 , nmi 0.7086 , ari 0.7634 , f1 0.9146
98P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
99Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
99Z :acc 0.9147 , nmi 0.7098 , ari 0.7643 , f1 0.9150
99P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
100Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
100Z :acc 0.9147 , nmi 0.7103 , ari 0.7644 , f1 0.9150
100P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
101Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
101Z :acc 0.9137 , nmi 0.7082 , ari 0.7619 , f1 0.9140
101P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
102Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
102Z :acc 0.9140 , nmi 0.7088 , ari 0.7627 , f1 0.9144
102P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
103Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
103Z :acc 0.9127 , nmi 0.7049 , ari 0.7595 , f1 0.9130
103P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
104Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
104Z :acc 0.9131 , nmi 0.7055 , ari 0.7603 , f1 0.9133
104P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
105Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
105Z :acc 0.9131 , nmi 0.7055 , ari 0.7603 , f1 0.9133
105P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
106Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
106Z :acc 0.9127 , nmi 0.7044 , ari 0.7594 , f1 0.9129
106P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
107Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
107Z :acc 0.9127 , nmi 0.7044 , ari 0.7594 , f1 0.9129
107P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
108Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
108Z :acc 0.9127 , nmi 0.7044 , ari 0.7594 , f1 0.9129
108P :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
109Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
109Z :acc 0.9137 , nmi 0.7085 , ari 0.7622 , f1 0.9139
109P :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
110Q :acc 0.8975 , nmi 0.6513 , ari 0.7189 , f1 0.8976
110Z :acc 0.9147 , nmi 0.7103 , ari 0.7646 , f1 0.9149
110P :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
111Q :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
111Z :acc 0.9140 , nmi 0.7094 , ari 0.7630 , f1 0.9142
111P :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
112Q :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
112Z :acc 0.9150 , nmi 0.7112 , ari 0.7654 , f1 0.9152
112P :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
113Q :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
113Z :acc 0.9144 , nmi 0.7095 , ari 0.7638 , f1 0.9145
113P :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
114Q :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
114Z :acc 0.9144 , nmi 0.7095 , ari 0.7638 , f1 0.9145
114P :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
115Q :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
115Z :acc 0.9144 , nmi 0.7095 , ari 0.7638 , f1 0.9145
115P :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
116Q :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
116Z :acc 0.9137 , nmi 0.7072 , ari 0.7620 , f1 0.9139
116P :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
117Q :acc 0.8975 , nmi 0.6510 , ari 0.7189 , f1 0.8976
