37Q :acc 0.8019 , nmi 0.5817 , ari 0.5977 , f1 0.6401
37Z :acc 0.6611 , nmi 0.3038 , ari 0.3220 , f1 0.5778
37P :acc 0.7836 , nmi 0.5605 , ari 0.5754 , f1 0.6488
38Q :acc 0.8020 , nmi 0.5817 , ari 0.5980 , f1 0.6402
38Z :acc 0.6626 , nmi 0.3056 , ari 0.3254 , f1 0.5801
38P :acc 0.7834 , nmi 0.5604 , ari 0.5750 , f1 0.6486
39Q :acc 0.8025 , nmi 0.5826 , ari 0.5993 , f1 0.6405
39Z :acc 0.6649 , nmi 0.3082 , ari 0.3311 , f1 0.5818
39P :acc 0.7828 , nmi 0.5596 , ari 0.5739 , f1 0.6483
40Q :acc 0.8025 , nmi 0.5823 , ari 0.5992 , f1 0.6406
40Z :acc 0.6670 , nmi 0.3104 , ari 0.3349 , f1 0.5847
40P :acc 0.7833 , nmi 0.5605 , ari 0.5750 , f1 0.6490
41Q :acc 0.8028 , nmi 0.5832 , ari 0.5999 , f1 0.6408
41Z :acc 0.6685 , nmi 0.3126 , ari 0.3384 , f1 0.5862
41P :acc 0.7832 , nmi 0.5607 , ari 0.5753 , f1 0.6493
42Q :acc 0.8031 , nmi 0.5839 , ari 0.6008 , f1 0.6411
42Z :acc 0.6692 , nmi 0.3135 , ari 0.3408 , f1 0.5879
42P :acc 0.7836 , nmi 0.5619 , ari 0.5764 , f1 0.6497
43Q :acc 0.8033 , nmi 0.5848 , ari 0.6012 , f1 0.6413
43Z :acc 0.6710 , nmi 0.3159 , ari 0.3454 , f1 0.5903
43P :acc 0.7838 , nmi 0.5626 , ari 0.5774 , f1 0.6500
44Q :acc 0.8036 , nmi 0.5851 , ari 0.6020 , f1 0.6416
44Z :acc 0.6732 , nmi 0.3180 , ari 0.3498 , f1 0.5926
44P :acc 0.7837 , nmi 0.5625 , ari 0.5771 , f1 0.6499
45Q :acc 0.8039 , nmi 0.5859 , ari 0.6026 , f1 0.6418
45Z :acc 0.6739 , nmi 0.3196 , ari 0.3523 , f1 0.5935
45P :acc 0.7836 , nmi 0.5630 , ari 0.5772 , f1 0.6499
46Q :acc 0.8042 , nmi 0.5866 , ari 0.6033 , f1 0.6421
46Z :acc 0.6743 , nmi 0.3203 , ari 0.3535 , f1 0.5947
46P :acc 0.7836 , nmi 0.5630 , ari 0.5774 , f1 0.6499
47Q :acc 0.8045 , nmi 0.5873 , ari 0.6041 , f1 0.6423
47Z :acc 0.6743 , nmi 0.3208 , ari 0.3547 , f1 0.5947
47P :acc 0.7838 , nmi 0.5635 , ari 0.5780 , f1 0.6501
48Q :acc 0.8043 , nmi 0.5872 , ari 0.6037 , f1 0.6423
48Z :acc 0.6754 , nmi 0.3223 , ari 0.3570 , f1 0.5974
48P :acc 0.7840 , nmi 0.5642 , ari 0.5787 , f1 0.6503
49Q :acc 0.8046 , nmi 0.5881 , ari 0.6046 , f1 0.6425
49Z :acc 0.6768 , nmi 0.3236 , ari 0.3592 , f1 0.5993
49P :acc 0.7839 , nmi 0.5648 , ari 0.5788 , f1 0.6504
50Q :acc 0.8052 , nmi 0.5895 , ari 0.6061 , f1 0.6430
50Z :acc 0.6773 , nmi 0.3243 , ari 0.3601 , f1 0.5999
50P :acc 0.7839 , nmi 0.5651 , ari 0.5790 , f1 0.6505
51Q :acc 0.8050 , nmi 0.5890 , ari 0.6059 , f1 0.6429
51Z :acc 0.6789 , nmi 0.3258 , ari 0.3632 , f1 0.6015
51P :acc 0.7838 , nmi 0.5656 , ari 0.5791 , f1 0.6505
52Q :acc 0.8047 , nmi 0.5882 , ari 0.6055 , f1 0.6427
52Z :acc 0.6801 , nmi 0.3266 , ari 0.3654 , f1 0.6026
52P :acc 0.7832 , nmi 0.5651 , ari 0.5786 , f1 0.6502
53Q :acc 0.8046 , nmi 0.5884 , ari 0.6054 , f1 0.6427
53Z :acc 0.6810 , nmi 0.3277 , ari 0.3674 , f1 0.6039
53P :acc 0.7831 , nmi 0.5651 , ari 0.5787 , f1 0.6502
54Q :acc 0.8048 , nmi 0.5889 , ari 0.6058 , f1 0.6428
54Z :acc 0.6811 , nmi 0.3282 , ari 0.3688 , f1 0.6035
54P :acc 0.7831 , nmi 0.5654 , ari 0.5788 , f1 0.6502
55Q :acc 0.8048 , nmi 0.5889 , ari 0.6058 , f1 0.6428
55Z :acc 0.6811 , nmi 0.3282 , ari 0.3692 , f1 0.6030
