50P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
51Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
51Z :acc 0.6664 , nmi 0.3996 , ari 0.4102 , f1 0.6301
51P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
52Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
52Z :acc 0.6561 , nmi 0.3896 , ari 0.3956 , f1 0.6193
52P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
53Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
53Z :acc 0.6667 , nmi 0.3998 , ari 0.4110 , f1 0.6306
53P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
54Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
54Z :acc 0.6546 , nmi 0.3890 , ari 0.3934 , f1 0.6176
54P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
55Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
55Z :acc 0.6655 , nmi 0.3988 , ari 0.4102 , f1 0.6292
55P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
56Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
56Z :acc 0.6598 , nmi 0.3905 , ari 0.4013 , f1 0.6237
56P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
57Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
57Z :acc 0.6561 , nmi 0.3867 , ari 0.3960 , f1 0.6198
57P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
58Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
58Z :acc 0.6622 , nmi 0.3936 , ari 0.4053 , f1 0.6262
58P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
59Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
59Z :acc 0.6516 , nmi 0.3847 , ari 0.3900 , f1 0.6143
59P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
60Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
60Z :acc 0.6619 , nmi 0.3927 , ari 0.4053 , f1 0.6254
60P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
61Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
