35Q :acc 0.8585 , nmi 0.7727 , ari 0.7240 , f1 0.8588
35Z :acc 0.5527 , nmi 0.4455 , ari 0.3543 , f1 0.4406
35P :acc 0.8578 , nmi 0.7714 , ari 0.7227 , f1 0.8580
36Q :acc 0.8589 , nmi 0.7732 , ari 0.7248 , f1 0.8592
36Z :acc 0.5536 , nmi 0.4476 , ari 0.3596 , f1 0.4384
36P :acc 0.8581 , nmi 0.7719 , ari 0.7235 , f1 0.8584
37Q :acc 0.8589 , nmi 0.7728 , ari 0.7246 , f1 0.8591
37Z :acc 0.5544 , nmi 0.4562 , ari 0.3708 , f1 0.4374
37P :acc 0.8580 , nmi 0.7718 , ari 0.7233 , f1 0.8583
38Q :acc 0.8597 , nmi 0.7744 , ari 0.7260 , f1 0.8600
38Z :acc 0.5531 , nmi 0.4653 , ari 0.3825 , f1 0.4348
38P :acc 0.8580 , nmi 0.7719 , ari 0.7234 , f1 0.8583
39Q :acc 0.8601 , nmi 0.7751 , ari 0.7268 , f1 0.8604
39Z :acc 0.5649 , nmi 0.4764 , ari 0.3934 , f1 0.4510
39P :acc 0.8583 , nmi 0.7724 , ari 0.7239 , f1 0.8587
40Q :acc 0.8597 , nmi 0.7749 , ari 0.7263 , f1 0.8601
40Z :acc 0.5760 , nmi 0.4891 , ari 0.4060 , f1 0.4594
40P :acc 0.8586 , nmi 0.7728 , ari 0.7244 , f1 0.8590
41Q :acc 0.8601 , nmi 0.7752 , ari 0.7269 , f1 0.8605
41Z :acc 0.5807 , nmi 0.4985 , ari 0.4149 , f1 0.4631
41P :acc 0.8591 , nmi 0.7733 , ari 0.7253 , f1 0.8596
42Q :acc 0.8604 , nmi 0.7756 , ari 0.7275 , f1 0.8609
42Z :acc 0.5849 , nmi 0.5118 , ari 0.4275 , f1 0.4664
42P :acc 0.8593 , nmi 0.7735 , ari 0.7257 , f1 0.8598
43Q :acc 0.8612 , nmi 0.7770 , ari 0.7291 , f1 0.8618
43Z :acc 0.5885 , nmi 0.5261 , ari 0.4406 , f1 0.4696
43P :acc 0.8596 , nmi 0.7740 , ari 0.7262 , f1 0.8601
44Q :acc 0.8613 , nmi 0.7771 , ari 0.7293 , f1 0.8619
44Z :acc 0.5897 , nmi 0.5379 , ari 0.4497 , f1 0.4710
44P :acc 0.8601 , nmi 0.7744 , ari 0.7270 , f1 0.8606
45Q :acc 0.8612 , nmi 0.7769 , ari 0.7292 , f1 0.8617
45Z :acc 0.5941 , nmi 0.5467 , ari 0.4560 , f1 0.4784
45P :acc 0.8603 , nmi 0.7747 , ari 0.7273 , f1 0.8608
46Q :acc 0.8616 , nmi 0.7773 , ari 0.7298 , f1 0.8621
46Z :acc 0.5973 , nmi 0.5502 , ari 0.4585 , f1 0.4806
46P :acc 0.8609 , nmi 0.7756 , ari 0.7284 , f1 0.8614
47Q :acc 0.8616 , nmi 0.7776 , ari 0.7298 , f1 0.8622
47Z :acc 0.6003 , nmi 0.5528 , ari 0.4613 , f1 0.4825
47P :acc 0.8610 , nmi 0.7756 , ari 0.7285 , f1 0.8615
48Q :acc 0.8615 , nmi 0.7776 , ari 0.7297 , f1 0.8621
48Z :acc 0.6025 , nmi 0.5543 , ari 0.4637 , f1 0.4838
48P :acc 0.8611 , nmi 0.7763 , ari 0.7288 , f1 0.8617
49Q :acc 0.8617 , nmi 0.7778 , ari 0.7300 , f1 0.8623
49Z :acc 0.6053 , nmi 0.5579 , ari 0.4673 , f1 0.4856
49P :acc 0.8612 , nmi 0.7771 , ari 0.7292 , f1 0.8618
50Q :acc 0.8621 , nmi 0.7783 , ari 0.7306 , f1 0.8627
50Z :acc 0.6063 , nmi 0.5586 , ari 0.4683 , f1 0.4862
50P :acc 0.8610 , nmi 0.7768 , ari 0.7289 , f1 0.8616
51Q :acc 0.8622 , nmi 0.7783 , ari 0.7309 , f1 0.8628
51Z :acc 0.6069 , nmi 0.5591 , ari 0.4682 , f1 0.4865
51P :acc 0.8612 , nmi 0.7771 , ari 0.7295 , f1 0.8619
52Q :acc 0.8624 , nmi 0.7787 , ari 0.7313 , f1 0.8630
52Z :acc 0.6076 , nmi 0.5589 , ari 0.4670 , f1 0.4871
52P :acc 0.8612 , nmi 0.7768 , ari 0.7295 , f1 0.8619
53Q :acc 0.8625 , nmi 0.7789 , ari 0.7316 , f1 0.8632
53Z :acc 0.6079 , nmi 0.5583 , ari 0.4657 , f1 0.4873
53P :acc 0.8618 , nmi 0.7773 , ari 0.7303 , f1 0.8625
54Q :acc 0.8635 , nmi 0.7802 , ari 0.7333 , f1 0.8641
54Z :acc 0.6079 , nmi 0.5572 , ari 0.4644 , f1 0.4874
54P :acc 0.8621 , nmi 0.7778 , ari 0.7308 , f1 0.8628
55Q :acc 0.8633 , nmi 0.7803 , ari 0.7330 , f1 0.8640
55Z :acc 0.6083 , nmi 0.5560 , ari 0.4636 , f1 0.4877
55P :acc 0.8625 , nmi 0.7786 , ari 0.7315 , f1 0.8631
56Q :acc 0.8635 , nmi 0.7806 , ari 0.7333 , f1 0.8642
56Z :acc 0.6092 , nmi 0.5545 , ari 0.4634 , f1 0.4884
56P :acc 0.8628 , nmi 0.7793 , ari 0.7320 , f1 0.8635
57Q :acc 0.8634 , nmi 0.7806 , ari 0.7332 , f1 0.8641
57Z :acc 0.6097 , nmi 0.5520 , ari 0.4628 , f1 0.4888
57P :acc 0.8628 , nmi 0.7794 , ari 0.7320 , f1 0.8635
58Q :acc 0.8633 , nmi 0.7805 , ari 0.7331 , f1 0.8640
58Z :acc 0.6089 , nmi 0.5451 , ari 0.4579 , f1 0.4883
58P :acc 0.8627 , nmi 0.7794 , ari 0.7320 , f1 0.8634
59Q :acc 0.8636 , nmi 0.7810 , ari 0.7337 , f1 0.8643
59Z :acc 0.6086 , nmi 0.5410 , ari 0.4542 , f1 0.4884
59P :acc 0.8629 , nmi 0.7798 , ari 0.7324 , f1 0.8636
60Q :acc 0.8641 , nmi 0.7817 , ari 0.7345 , f1 0.8649
60Z :acc 0.6086 , nmi 0.5382 , ari 0.4522 , f1 0.4886
60P :acc 0.8635 , nmi 0.7806 , ari 0.7334 , f1 0.8642
61Q :acc 0.8644 , nmi 0.7821 , ari 0.7351 , f1 0.8652
61Z :acc 0.6085 , nmi 0.5361 , ari 0.4502 , f1 0.4888
61P :acc 0.8638 , nmi 0.7810 , ari 0.7340 , f1 0.8646
62Q :acc 0.8645 , nmi 0.7823 , ari 0.7354 , f1 0.8653
62Z :acc 0.6081 , nmi 0.5338 , ari 0.4479 , f1 0.4887
62P :acc 0.8639 , nmi 0.7813 , ari 0.7343 , f1 0.8647
63Q :acc 0.8645 , nmi 0.7828 , ari 0.7358 , f1 0.8654
63Z :acc 0.6082 , nmi 0.5325 , ari 0.4464 , f1 0.4888
63P :acc 0.8639 , nmi 0.7814 , ari 0.7344 , f1 0.8647
64Q :acc 0.8646 , nmi 0.7829 , ari 0.7359 , f1 0.8655
64Z :acc 0.6073 , nmi 0.5283 , ari 0.4420 , f1 0.4882
64P :acc 0.8641 , nmi 0.7816 , ari 0.7348 , f1 0.8649
65Q :acc 0.8648 , nmi 0.7832 , ari 0.7363 , f1 0.8657
65Z :acc 0.6068 , nmi 0.5230 , ari 0.4363 , f1 0.4878
65P :acc 0.8641 , nmi 0.7817 , ari 0.7348 , f1 0.8649
66Q :acc 0.8648 , nmi 0.7833 , ari 0.7363 , f1 0.8657
66Z :acc 0.6057 , nmi 0.5180 , ari 0.4307 , f1 0.4871
66P :acc 0.8645 , nmi 0.7825 , ari 0.7357 , f1 0.8654
67Q :acc 0.8653 , nmi 0.7839 , ari 0.7372 , f1 0.8663
67Z :acc 0.6050 , nmi 0.5152 , ari 0.4265 , f1 0.4870
67P :acc 0.8651 , nmi 0.7834 , ari 0.7368 , f1 0.8660
68Q :acc 0.8656 , nmi 0.7844 , ari 0.7378 , f1 0.8666
68Z :acc 0.6031 , nmi 0.5114 , ari 0.4210 , f1 0.4862
68P :acc 0.8653 , nmi 0.7838 , ari 0.7373 , f1 0.8663
69Q :acc 0.8668 , nmi 0.7859 , ari 0.7399 , f1 0.8677
69Z :acc 0.6021 , nmi 0.5115 , ari 0.4181 , f1 0.4865
69P :acc 0.8654 , nmi 0.7843 , ari 0.7376 , f1 0.8664
70Q :acc 0.8674 , nmi 0.7870 , ari 0.7410 , f1 0.8684
70Z :acc 0.6005 , nmi 0.5102 , ari 0.4144 , f1 0.4863
70P :acc 0.8661 , nmi 0.7852 , ari 0.7387 , f1 0.8671
71Q :acc 0.8671 , nmi 0.7868 , ari 0.7406 , f1 0.8681
71Z :acc 0.5994 , nmi 0.5098 , ari 0.4117 , f1 0.4863
71P :acc 0.8663 , nmi 0.7853 , ari 0.7390 , f1 0.8673
72Q :acc 0.8675 , nmi 0.7878 , ari 0.7414 , f1 0.8685
72Z :acc 0.5985 , nmi 0.5083 , ari 0.4092 , f1 0.4862
