181 :acc 0.8810 , nmi 0.8424 , ari 0.7827 , f1 0.8855 
182 :acc 0.8812 , nmi 0.8430 , ari 0.7832 , f1 0.8856 
183 :acc 0.8818 , nmi 0.8440 , ari 0.7841 , f1 0.8865 
184 :acc 0.8813 , nmi 0.8434 , ari 0.7834 , f1 0.8858 
185 :acc 0.8817 , nmi 0.8444 , ari 0.7842 , f1 0.8864 
186 :acc 0.8816 , nmi 0.8439 , ari 0.7840 , f1 0.8862 
187 :acc 0.8818 , nmi 0.8446 , ari 0.7845 , f1 0.8864 
188 :acc 0.8818 , nmi 0.8443 , ari 0.7842 , f1 0.8865 
189 :acc 0.8815 , nmi 0.8438 , ari 0.7839 , f1 0.8861 
190 :acc 0.8814 , nmi 0.8438 , ari 0.7837 , f1 0.8860 
191 :acc 0.8813 , nmi 0.8436 , ari 0.7835 , f1 0.8859 
192 :acc 0.8816 , nmi 0.8443 , ari 0.7841 , f1 0.8863 
193 :acc 0.8811 , nmi 0.8439 , ari 0.7833 , f1 0.8858 
194 :acc 0.8818 , nmi 0.8446 , ari 0.7845 , f1 0.8864 
195 :acc 0.8813 , nmi 0.8442 , ari 0.7838 , f1 0.8861 
196 :acc 0.8817 , nmi 0.8442 , ari 0.7841 , f1 0.8863 
197 :acc 0.8816 , nmi 0.8445 , ari 0.7842 , f1 0.8863 
198 :acc 0.8816 , nmi 0.8451 , ari 0.7844 , f1 0.8864 
199 :acc 0.8815 , nmi 0.8441 , ari 0.7840 , f1 0.8861 
    
