121 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
122 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
123 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
124 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
125 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
126 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
127 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
128 :acc 0.9345 , nmi 0.7592 , ari 0.8151 , f1 0.9348
129 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
130 :acc 0.9345 , nmi 0.7592 , ari 0.8151 , f1 0.9348
131 :acc 0.9345 , nmi 0.7592 , ari 0.8151 , f1 0.9348
132 :acc 0.9345 , nmi 0.7592 , ari 0.8151 , f1 0.9348
133 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
134 :acc 0.9345 , nmi 0.7592 , ari 0.8151 , f1 0.9348
135 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
136 :acc 0.9352 , nmi 0.7614 , ari 0.8169 , f1 0.9355
137 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
138 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
139 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
140 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
141 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.935
142 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.934
143 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.934
144 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.935
145 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.935
146 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.935
147 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.934
148 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
149 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
150 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
151 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
152 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
153 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
154 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
155 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
156 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
157 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
158 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
159 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
160 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
161 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
162 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
163 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
164 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
165 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
166 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
167 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
168 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
169 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
170 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
171 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
172 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
173 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
174 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
175 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
176 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
177 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
178 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
179 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
180 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
181 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
182 :acc 0.9342 , nmi 0.7583 , ari 0.8142 , f1 0.9345
183 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
184 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
185 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
186 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
187 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
188 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
189 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
190 :acc 0.9336 , nmi 0.7565 , ari 0.8124 , f1 0.9338
191 :acc 0.9336 , nmi 0.7565 , ari 0.8124 , f1 0.9338
192 :acc 0.9336 , nmi 0.7565 , ari 0.8124 , f1 0.9338
193 :acc 0.9336 , nmi 0.7565 , ari 0.8124 , f1 0.9338
194 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
195 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
196 :acc 0.9336 , nmi 0.7565 , ari 0.8124 , f1 0.9338
197 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
198 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
199 :acc 0.9339 , nmi 0.7574 , ari 0.8133 , f1 0.9342
