185 :acc 0.8216 , nmi 0.8336 , ari 0.7730 , f1 0.8000
186 :acc 0.8216 , nmi 0.8334 , ari 0.7730 , f1 0.8000
187 :acc 0.8216 , nmi 0.8334 , ari 0.7730 , f1 0.8000
188 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
189 :acc 0.8216 , nmi 0.8334 , ari 0.7730 , f1 0.8000
190 :acc 0.8215 , nmi 0.8331 , ari 0.7728 , f1 0.7999
191 :acc 0.8216 , nmi 0.8334 , ari 0.7730 , f1 0.8000
192 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
193 :acc 0.8215 , nmi 0.8331 , ari 0.7727 , f1 0.7999
194 :acc 0.8216 , nmi 0.8335 , ari 0.7730 , f1 0.8000
195 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
196 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
197 :acc 0.8216 , nmi 0.8333 , ari 0.7729 , f1 0.8000
198 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
199 :acc 0.8216 , nmi 0.8333 , ari 0.7729 , f1 0.8000
