acc 0.7213, nmi 0.7017, ari 0.6092, f1 0.7010
acc 0.7224, nmi 0.7008, ari 0.6078, f1 0.7029
acc 0.7215, nmi 0.7013, ari 0.6083, f1 0.7017
acc 0.7207, nmi 0.7018, ari 0.6092, f1 0.7000
acc 0.7213, nmi 0.7013, ari 0.6082, f1 0.7013
acc 0.7204, nmi 0.7018, ari 0.6088, f1 0.6997
acc 0.7207, nmi 0.7022, ari 0.6093, f1 0.6999
acc 0.7196, nmi 0.7026, ari 0.6096, f1 0.6982
acc 0.7192, nmi 0.7027, ari 0.6096, f1 0.6975
acc 0.7190, nmi 0.7027, ari 0.6096, f1 0.6972
acc 0.7188, nmi 0.7024, ari 0.6093, f1 0.6968
acc 0.7188, nmi 0.7031, ari 0.6099, f1 0.6966
acc 0.7191, nmi 0.7032, ari 0.6100, f1 0.6970
acc 0.7195, nmi 0.7032, ari 0.6102, f1 0.6974
acc 0.7188, nmi 0.7035, ari 0.6104, f1 0.6885
acc 0.7208, nmi 0.7003, ari 0.6068, f1 0.7000
acc 0.7199, nmi 0.7054, ari 0.6123, f1 0.6876
acc 0.7215, nmi 0.7001, ari 0.6066, f1 0.7009
acc 0.7198, nmi 0.7047, ari 0.6116, f1 0.6881
acc 0.7190, nmi 0.7031, ari 0.6099, f1 0.6965
acc 0.7191, nmi 0.7031, ari 0.6098, f1 0.6967
acc 0.7195, nmi 0.7055, ari 0.6123, f1 0.6870
acc 0.7184, nmi 0.7031, ari 0.6098, f1 0.6956
acc 0.7189, nmi 0.7033, ari 0.6101, f1 0.6883
acc 0.7196, nmi 0.7052, ari 0.6119, f1 0.6873
acc 0.7181, nmi 0.7027, ari 0.6093, f1 0.6954
acc 0.7189, nmi 0.7042, ari 0.6109, f1 0.6873
acc 0.7195, nmi 0.7050, ari 0.6117, f1 0.6871
acc 0.7180, nmi 0.7027, ari 0.6093, f1 0.6876
acc 0.7195, nmi 0.7051, ari 0.6118, f1 0.6869
acc 0.7193, nmi 0.7049, ari 0.6116, f1 0.6868
acc 0.7196, nmi 0.7049, ari 0.6116, f1 0.6872
acc 0.7195, nmi 0.7051, ari 0.6117, f1 0.6868
acc 0.7194, nmi 0.7049, ari 0.6115, f1 0.6870
acc 0.7198, nmi 0.7051, ari 0.6118, f1 0.6871
acc 0.7200, nmi 0.7052, ari 0.6119, f1 0.6871
acc 0.7200, nmi 0.7053, ari 0.6121, f1 0.6876
acc 0.7204, nmi 0.7055, ari 0.6123, f1 0.6874
acc 0.7201, nmi 0.7053, ari 0.6120, f1 0.6871
acc 0.7204, nmi 0.7055, ari 0.6122, f1 0.6875
acc 0.7205, nmi 0.7056, ari 0.6124, f1 0.6872
acc 0.7196, nmi 0.7048, ari 0.6113, f1 0.6875
acc 0.7207, nmi 0.7056, ari 0.6124, f1 0.6874
