acc 0.7854, nmi 0.5424, ari 0.5569, f1 0.7512
acc 0.7851, nmi 0.5421, ari 0.5564, f1 0.7509
acc 0.7851, nmi 0.5421, ari 0.5564, f1 0.7509
acc 0.7848, nmi 0.5416, ari 0.5557, f1 0.7507
acc 0.7845, nmi 0.5412, ari 0.5550, f1 0.7504
acc 0.7844, nmi 0.5411, ari 0.5548, f1 0.7503
acc 0.7844, nmi 0.5411, ari 0.5548, f1 0.7503
acc 0.7843, nmi 0.5410, ari 0.5546, f1 0.7503
acc 0.7843, nmi 0.5410, ari 0.5546, f1 0.7503
acc 0.7844, nmi 0.5411, ari 0.5548, f1 0.7503
acc 0.7843, nmi 0.5410, ari 0.5546, f1 0.7503
acc 0.7842, nmi 0.5410, ari 0.5545, f1 0.7502
acc 0.7843, nmi 0.5410, ari 0.5546, f1 0.7503
acc 0.7842, nmi 0.5410, ari 0.5545, f1 0.7502
acc 0.7842, nmi 0.5410, ari 0.5545, f1 0.7502
acc 0.7841, nmi 0.5408, ari 0.5543, f1 0.7501
acc 0.7841, nmi 0.5408, ari 0.5543, f1 0.7501
acc 0.7841, nmi 0.5408, ari 0.5543, f1 0.7501
acc 0.7840, nmi 0.5407, ari 0.5541, f1 0.7500
acc 0.7840, nmi 0.5407, ari 0.5541, f1 0.7500
acc 0.7840, nmi 0.5407, ari 0.5541, f1 0.7500
acc 0.7840, nmi 0.5407, ari 0.5541, f1 0.7500
acc 0.7839, nmi 0.5406, ari 0.5539, f1 0.7499
acc 0.7838, nmi 0.5405, ari 0.5537, f1 0.7498
acc 0.7836, nmi 0.5402, ari 0.5533, f1 0.7497
acc 0.7835, nmi 0.5401, ari 0.5530, f1 0.7496
acc 0.7836, nmi 0.5402, ari 0.5533, f1 0.7497
acc 0.7836, nmi 0.5401, ari 0.5533, f1 0.7496
acc 0.7835, nmi 0.5400, ari 0.5531, f1 0.7496
acc 0.7835, nmi 0.5400, ari 0.5531, f1 0.7496
acc 0.7835, nmi 0.5400, ari 0.5532, f1 0.7495
acc 0.7833, nmi 0.5398, ari 0.5527, f1 0.7494
acc 0.7833, nmi 0.5398, ari 0.5527, f1 0.7494
acc 0.7833, nmi 0.5398, ari 0.5527, f1 0.7494
acc 0.7833, nmi 0.5398, ari 0.5527, f1 0.7494
acc 0.7833, nmi 0.5398, ari 0.5528, f1 0.7494
acc 0.7832, nmi 0.5397, ari 0.5526, f1 0.7493
acc 0.7831, nmi 0.5395, ari 0.5524, f1 0.7492
acc 0.7831, nmi 0.5394, ari 0.5523, f1 0.7492
acc 0.7830, nmi 0.5393, ari 0.5521, f1 0.7491
acc 0.7829, nmi 0.5392, ari 0.5519, f1 0.7490
acc 0.7829, nmi 0.5393, ari 0.5520, f1 0.7490
acc 0.7829, nmi 0.5393, ari 0.5520, f1 0.7490
acc 0.7830, nmi 0.5392, ari 0.5520, f1 0.7492
acc 0.7830, nmi 0.5393, ari 0.5519, f1 0.7492
acc 0.7829, nmi 0.5393, ari 0.5519, f1 0.7490
acc 0.7830, nmi 0.5393, ari 0.5519, f1 0.7492
acc 0.7831, nmi 0.5394, ari 0.5521, f1 0.7492
acc 0.7830, nmi 0.5393, ari 0.5519, f1 0.7492
acc 0.7829, nmi 0.5392, ari 0.5517, f1 0.7491
acc 0.7829, nmi 0.5392, ari 0.5517, f1 0.7491
acc 0.7830, nmi 0.5393, ari 0.5519, f1 0.7492
acc 0.7832, nmi 0.5395, ari 0.5523, f1 0.7493
acc 0.7830, nmi 0.5393, ari 0.5519, f1 0.7492
acc 0.7828, nmi 0.5390, ari 0.5515, f1 0.7490
acc 0.7830, nmi 0.5392, ari 0.5519, f1 0.7492
acc 0.7830, nmi 0.5392, ari 0.5519, f1 0.7492
acc 0.7824, nmi 0.5385, ari 0.5506, f1 0.7487
acc 0.7823, nmi 0.5384, ari 0.5504, f1 0.7486
acc 0.7826, nmi 0.5388, ari 0.5511, f1 0.7488
acc 0.7826, nmi 0.5387, ari 0.5510, f1 0.7488
acc 0.7822, nmi 0.5382, ari 0.5502, f1 0.7485
acc 0.7821, nmi 0.5380, ari 0.5499, f1 0.7484
