38Z :acc 0.6088 , nmi 0.3155 , ari 0.2949 , f1 0.5712
38P :acc 0.7020 , nmi 0.3593 , ari 0.3676 , f1 0.7042
39Q :acc 0.7050 , nmi 0.3669 , ari 0.3678 , f1 0.7079
39Z :acc 0.6120 , nmi 0.3175 , ari 0.2965 , f1 0.5744
39P :acc 0.7020 , nmi 0.3594 , ari 0.3676 , f1 0.7042
40Q :acc 0.7062 , nmi 0.3691 , ari 0.3702 , f1 0.7092
40Z :acc 0.6147 , nmi 0.3198 , ari 0.2983 , f1 0.5776
40P :acc 0.7027 , nmi 0.3610 , ari 0.3686 , f1 0.7049
41Q :acc 0.7052 , nmi 0.3679 , ari 0.3692 , f1 0.7082
41Z :acc 0.6172 , nmi 0.3209 , ari 0.2991 , f1 0.5811
41P :acc 0.7013 , nmi 0.3599 , ari 0.3665 , f1 0.7036
42Q :acc 0.7047 , nmi 0.3675 , ari 0.3684 , f1 0.7077
42Z :acc 0.6189 , nmi 0.3207 , ari 0.2993 , f1 0.5837
42P :acc 0.7013 , nmi 0.3601 , ari 0.3663 , f1 0.7036
43Q :acc 0.7047 , nmi 0.3676 , ari 0.3684 , f1 0.7078
43Z :acc 0.6226 , nmi 0.3236 , ari 0.3014 , f1 0.5884
43P :acc 0.7010 , nmi 0.3599 , ari 0.3663 , f1 0.7032
44Q :acc 0.7037 , nmi 0.3666 , ari 0.3668 , f1 0.7068
44Z :acc 0.6231 , nmi 0.3236 , ari 0.3008 , f1 0.5895
44P :acc 0.7005 , nmi 0.3607 , ari 0.3662 , f1 0.7028
45Q :acc 0.7027 , nmi 0.3658 , ari 0.3658 , f1 0.7057
45Z :acc 0.6251 , nmi 0.3252 , ari 0.3010 , f1 0.5931
45P :acc 0.7015 , nmi 0.3624 , ari 0.3677 , f1 0.7039
46Q :acc 0.7022 , nmi 0.3657 , ari 0.3653 , f1 0.7052
46Z :acc 0.6288 , nmi 0.3300 , ari 0.3039 , f1 0.5988
46P :acc 0.7008 , nmi 0.3620 , ari 0.3666 , f1 0.7033
47Q :acc 0.7015 , nmi 0.3649 , ari 0.3641 , f1 0.7046
47Z :acc 0.6340 , nmi 0.3352 , ari 0.3090 , f1 0.6046
47P :acc 0.6995 , nmi 0.3610 , ari 0.3651 , f1 0.7021
48Q :acc 0.7018 , nmi 0.3650 , ari 0.3645 , f1 0.7048
48Z :acc 0.6377 , nmi 0.3353 , ari 0.3096 , f1 0.6109
48P :acc 0.7000 , nmi 0.3619 , ari 0.3657 , f1 0.7027
49Q :acc 0.7008 , nmi 0.3631 , ari 0.3629 , f1 0.7037
49Z :acc 0.6396 , nmi 0.3363 , ari 0.3100 , f1 0.6140
49P :acc 0.7000 , nmi 0.3622 , ari 0.3660 , f1 0.7026
50Q :acc 0.6998 , nmi 0.3622 , ari 0.3614 , f1 0.7027
50Z :acc 0.6451 , nmi 0.3378 , ari 0.3133 , f1 0.6218
50P :acc 0.6998 , nmi 0.3616 , ari 0.3656 , f1 0.7023
51Q :acc 0.6995 , nmi 0.3622 , ari 0.3612 , f1 0.7024
51Z :acc 0.6485 , nmi 0.3373 , ari 0.3143 , f1 0.6272
51P :acc 0.6985 , nmi 0.3599 , ari 0.3637 , f1 0.7011
52Q :acc 0.6995 , nmi 0.3624 , ari 0.3613 , f1 0.7025
52Z :acc 0.6510 , nmi 0.3375 , ari 0.3155 , f1 0.6312
52P :acc 0.6973 , nmi 0.3582 , ari 0.3623 , f1 0.6998
53Q :acc 0.6985 , nmi 0.3613 , ari 0.3601 , f1 0.7015
53Z :acc 0.6542 , nmi 0.3381 , ari 0.3171 , f1 0.6361
53P :acc 0.6973 , nmi 0.3587 , ari 0.3625 , f1 0.6997
54Q :acc 0.6995 , nmi 0.3626 , ari 0.3617 , f1 0.7023
54Z :acc 0.6574 , nmi 0.3398 , ari 0.3205 , f1 0.6406
54P :acc 0.6968 , nmi 0.3586 , ari 0.3618 , f1 0.6993
55Q :acc 0.6983 , nmi 0.3604 , ari 0.3604 , f1 0.7008
55Z :acc 0.6564 , nmi 0.3371 , ari 0.3188 , f1 0.6402
55P :acc 0.6953 , nmi 0.3573 , ari 0.3598 , f1 0.6979
56Q :acc 0.6981 , nmi 0.3608 , ari 0.3601 , f1 0.7007
56Z :acc 0.6611 , nmi 0.3389 , ari 0.3218 , f1 0.6468
56P :acc 0.6956 , nmi 0.3578 , ari 0.3602 , f1 0.6982
57Q :acc 0.6973 , nmi 0.3603 , ari 0.3594 , f1 0.7000
57Z :acc 0.6640 , nmi 0.3387 , ari 0.3234 , f1 0.6514
57P :acc 0.6953 , nmi 0.3576 , ari 0.3601 , f1 0.6979
